name,entropy,packages,controlflow,string_visibility,code_reuse,api_suspicion,description
0abb4fda7d5b13801d63bee53e5e256be43e141faa077a6d149874242c3f02c2,6.569897560341239,156,5.0,1.0,0.156,82.1237195042655,extracted_from_dataset
c9cafff8a596ba8a80bafb4ba8ae6f2ef3329d95b85f15b1af16ab9d6cf65065,5.797294616699219,619,5.0,1.0,0.619,72.46618270874023,extracted_from_dataset
eac8ddb4970f8af985742973d6f0e06902d42a3684d791789c5b665a478a79c9,5.7441864013671875,273,5.0,1.0,0.273,71.80233001708984,extracted_from_dataset
7f513818bcc276c531af2e641c597744da807e21cc1160a45a0a592086c27a28,6.578020095825195,8,5.0,1.0,0.008,82.22525119781494,extracted_from_dataset
ca65e1c387a4cc9e7d8a8ce12bf1bcf9f534c9032b9d951d5d3aed7a12f8d8ed,6.561550140380859,124,5.0,1.0,0.124,82.01937675476074,extracted_from_dataset
f725cee174223b6fbc49e2ba9a30c69c48b548fc5b382ff99feabdf1dbf4fb72,6.580244541168213,70,5.0,1.0,0.07,1.6450611352920532,extracted_from_dataset
9997044147ec7f5ede801c6cdcc164f70273b14a6c23ac905887552c7b5876e5,6.584449582535646,6,5.0,1.0,0.006,82.30561978169557,extracted_from_dataset
2fcc0cdc69773cd830805147fb6a81af34c14725a5a4cfb2fa26ea743de1c21c,5.262705326080322,63,5.0,1.0,0.063,65.78381657600403,extracted_from_dataset
7c20fb241ae42b1fd455e6cd4619fa3bb02f1044bf0e83c9b5f8365d572abd36,5.803924565186222,169,5.0,1.0,0.169,72.54905706482776,extracted_from_dataset
f0cd98c05c9952b4ed7bf4415de927853fce0bb78318b9b5506cde4eae9c4ffa,6.542808532714844,152,5.0,1.0,0.152,81.78510665893555,extracted_from_dataset
100fc85f8888a3dbe7e59a00bec5f957b53dc44dab74e5958346157dcb972746,6.5758562088012695,8,5.0,1.0,0.008,82.19820261001587,extracted_from_dataset
4dc8d3762e0b568716647f2e78b1ff46bce1ec336f6d4a4d736d54f6b8fcaf46,6.576286806751315,8,5.0,1.0,0.008,82.20358508439143,extracted_from_dataset
035bcc115025cb119fef9bcf1ba623d64b1bee851cedf07709fb37f0768c4bae,5.84343195456796,267,5.0,1.0,0.267,73.04289943209949,extracted_from_dataset
64a732bbe3f84671d8c4e4eaf8a759f66d7aaf16d61dec85e96718a4f7b94c63,6.485124588012695,5,5.0,1.0,0.005,81.06405735015869,extracted_from_dataset
83ff34d3c9395d6d7516f343052fe279c1349e1d24b19985fabe2787eada2a14,5.62401819229126,122,5.0,1.0,0.122,70.30022740364075,extracted_from_dataset
7da510ef340e23612112e515174191ad79443ad0a3f2eea623e16b40a11698cc,5.727788925170898,93,5.0,1.0,0.093,71.59736156463623,extracted_from_dataset
9d22c2557420550f1f92be1efb8ea6967f8d8b48055828c60ce0eae75909164a,6.316238880157471,1,5.0,1.0,0.001,78.95298600196838,extracted_from_dataset
ebc54ccaf07e3d948746a03d9509115b5deeba69a8160d7fb95c11622fcb9a38,5.414725303649902,203,5.0,1.0,0.203,3.384203314781189,extracted_from_dataset
b913073813bd933d882ac9abc5ce84f96d3238622ffa97bde8eded629454f778,6.242146968841553,129,5.0,1.0,0.129,78.02683711051941,extracted_from_dataset
a8a94be3117bdd9a3d86a9c12488604179e67114f3ca987031f4d88cec3e2e7e,6.576143264770508,24,5.0,1.0,0.024,82.20179080963135,extracted_from_dataset
70a4d39a0cd908b7fdc05bbb44213dee64345c001558212337d415bd3ed0348a,6.421131610870361,2,5.0,1.0,0.002,80.26414513587952,extracted_from_dataset
58cd8e4be2dae863bdb3f176134bb7a1522f675b5a2a0b85c5a0a3ae895ee5b5,6.54026460647583,8,5.0,1.0,0.008,81.75330758094788,extracted_from_dataset
4f021800e7e2569a21697d6fb519cc45638cbc0945c39d94d2f8c1a1735e0250,5.364841461181641,77,5.0,1.0,0.077,67.06051826477051,extracted_from_dataset
b84d7ada9f33477ea92cfafeb3473bc255d51ae49c7957036b31d4357364a3d1,5.380892003678895,17,5.0,1.0,0.017,67.26115004598618,extracted_from_dataset
3ebc8265ca687402eb5a18c88c98d263bd2a309951f4e780e3e14de34ad10ee7,5.781874720155956,2225,5.0,1.0,1.0,100.0,extracted_from_dataset
922ff0afbc74e02d4f301f57e7d74840d5a9b675db82f5678e429ca5dc81c3a3,5.804078102111816,178,5.0,1.0,0.178,72.5509762763977,extracted_from_dataset
0e4cbded319fa1ba9f128457f05d5d1f29f57ca4033e4e6ab87f67b661cd1320,6.566315174102783,8,5.0,1.0,0.008,82.07893967628479,extracted_from_dataset
7a0b203a0fe2bc10e2375e1228bab03e757a953743400ad8f4961a1692fa9678,6.581263183874728,8,5.0,1.0,0.008,82.2657897984341,extracted_from_dataset
fd95cc2f89fe4e4344a38aaa8f0ff33869fceeb120eef04fa2fadbb399d5d63b,6.581257901721906,8,5.0,1.0,0.008,82.26572377152382,extracted_from_dataset
